SubjID,response_time,correct,targ_type,cond_trig,word_trig,target,experiment_file,word,Base,affix,Source,FS,BF,LogBF,FS_Split,BaseLength,WholeFormLength,famsize
S160,561,1,CW_S,201,5,ALLOWANCE,AB_m21,allowance,allow,ance,RastleFiller,5,5014,8.52,S,5,9,Small
S160,758,1,CW_S,201,6,DIETARY,AB_m21,dietary,diet,ary,Rastle,6,1181,7.07,S,4,7,Small
S160,897,1,CW_S,201,7,WIDOWED,AB_m21,widowed,widow,ed,RastleFiller,5,499,6.21,S,5,7,Small
S160,972,1,CW_S,201,8,BEARDED,AB_m21,bearded,beard,ed,Rastle,7,578,6.36,S,5,7,Small
S160,745,1,CW_S,201,9,INSISTENT,AB_m21,insistent,insist,ent,RastleFiller,5,1631,7.4,S,6,9,Small
S160,619,1,CW_S,201,10,TOASTER,AB_m21,toaster,toast,er,Rastle,6,339,5.83,S,5,7,Small
S160,745,1,CW_S,201,11,LENDER,AB_m21,lender,lend,er,FORD,3,505,6.22,S,4,6,Small
S160,996,0,CW_S,201,12,RAIDER,AB_m21,raider,raid,er,RastleFiller,4,505,6.22,S,4,6,Small
S160,939,1,CW_S,201,13,JAILER,AB_m21,jailer,jail,er,RastleFiller,5,678,6.52,S,4,6,Small
S160,900,1,CW_S,201,14,DESTROYER,AB_m21,destroyer,destroy,er,FORD,3,1906,7.55,S,7,9,Small
S160,597,1,CW_S,201,15,CAMPAIGNER,AB_m21,campaigner,campaign,er,FORD,3,2003,7.6,S,8,10,Small
S160,711,1,CW_S,201,16,SEEKER,AB_m21,seeker,seek,er,Rastle,7,2155,7.68,S,4,6,Small
S160,706,1,CW_S,201,17,SINGER,AB_m21,singer,sing,er,FORD,4,2186,7.69,S,4,6,Small
S160,712,1,CW_S,201,18,LISTENER,AB_m21,listener,listen,er,FORD,4,3081,8.03,S,6,8,Small
S160,701,1,CW_S,201,19,DESIGN,AB_m21,design,designer,er,RastleFiller,7,3296,8.1,S,8,6,Small
S160,897,1,CW_S,201,20,ATTACKER,AB_m21,attacker,attack,er,FORD,6,3385,8.13,S,6,8,Small
S160,609,1,CW_S,201,21,BUYER,AB_m21,buyer,buy,er,FORD,3,4386,8.39,S,3,5,Small
S160,531,1,CW_S,201,22,PLANNER,AB_m21,planner,plan,er,FORD,4,5475,8.61,S,4,7,Small
S160,800,1,CW_S,201,23,TEACHER,AB_m21,teacher,teach,er,RastleFiller,6,5662,8.64,S,5,7,Small
S160,633,1,CW_S,201,24,THRUSTER,AB_m21,thruster,thrust,er,Graves,4,584,6.37,S,6,8,Small
S160,759,1,CW_S,201,25,ANGELIC,AB_m21,angelic,angel,ic,Rastle,7,567,6.34,S,5,7,Small
S160,614,1,CW_S,201,26,TOSSING,AB_m21,tossing,toss,ing,RastleFiller,5,407,6.01,S,4,7,Small
S160,810,1,CW_S,201,27,TUTORING,AB_m21,tutoring,tutor,ing,RastleFiller,5,499,6.212606096,S,5,8,Small
S160,563,1,CW_S,201,28,PEAKING,AB_m21,peaking,peak,ing,RastleFiller,6,546,6.3,S,4,7,Small
S160,827,1,CW_S,201,29,HARMLESS,AB_m21,harmless,harm,less,FORD,7,1101,7,S,4,8,Small
S160,725,1,CW_S,201,30,EFFORTLESS,AB_m21,effortless,effort,less,FORD,4,2456,7.81,S,6,10,Small
S160,815,1,CW_S,201,31,GRIMLY,AB_m21,grimly,grim,ly,FORD,6,552,6.31,S,4,6,Small
S160,990,0,CW_S,201,32,DENSELY,AB_m21,densely,dense,ly,FORD,7,655,6.48,S,5,7,Small
S160,621,1,CW_S,201,33,NEATLY,AB_m21,neatly,neat,ly,FORD,3,924,6.83,S,4,6,Small
S160,805,1,CW_S,201,34,GUILTY,AB_m21,guilty,guilt,ly,RastleFiller,7,1576,7.36,S,5,6,Small
S160,713,1,CW_S,201,35,HUGELY,AB_m21,hugely,huge,ly,FORD,3,1918,7.56,S,4,6,Small
S160,579,1,CW_S,201,36,COSTLY,AB_m21,costly,cost,ly,FORD,6,4215,8.35,S,4,6,Small
S160,992,0,CW_S,201,37,LOCALLY,AB_m21,locally,local,ly,FORD,7,4485,8.41,S,5,7,Small
S160,573,1,CW_S,201,38,AMUSEMENT,AB_m21,amusement,amuse,ment,FORD,3,857,6.75,S,5,9,Small
S160,558,1,CW_S,201,39,AMAZEMENT,AB_m21,amazement,amaze,ment,FORD,4,878,6.78,S,5,9,Small
S160,747,1,CW_S,201,40,ENJOYMENT,AB_m21,enjoyment,enjoy,ment,FORD,4,2771,7.93,S,5,9,Small
S160,862,1,CW_S,201,41,BOLDNESS,AB_m21,boldness,bold,ness,RastleFiller,7,379,5.94,S,4,8,Small
S160,579,1,CW_S,201,42,MILDNESS,AB_m21,mildness,mild,ness,FORD,4,676,6.52,S,4,8,Small
S160,987,1,CW_S,201,43,DULLNESS,AB_m21,dullness,dull,ness,XuTaft,5,703,6.56,S,4,8,Small
S160,736,1,CW_S,201,44,AWARENESS,AB_m21,awareness,aware,ness,FORD,4,2391,7.78,S,5,9,Small
S160,674,1,CW_S,201,45,RICHNESS,AB_m21,richness,rich,ness,FORD,7,2868,7.96,S,4,8,Small
S160,911,1,CW_S,201,46,STRANGENESS,AB_m21,strangeness,strange,ness,FORD,4,2912,7.98,S,7,11,Small
S160,992,0,CW_S,201,47,MOSSY,AB_m21,mossy,moss,y,Graves,3,149,5,S,4,5,Small
S160,665,1,CW_S,201,48,CHILLY,AB_m21,chilly,chill,y,RastleFiller,7,488,6.19,S,5,6,Small
S160,715,1,CW_S,201,49,BOSSY,AB_m21,bossy,boss,y,Graves,6,551,6.31,S,4,5,Small
S160,601,1,CW_S,201,50,RISKY,AB_m21,risky,risk,y,RastleFiller,5,1827,7.51,S,4,5,Small
S160,517,1,CW_L,202,1,PUNCHER,AB_m21,puncher,punch,er,RastleFiller,17,325,5.78,L,5,7,Large
S160,988,0,CW_L,202,2,BARKER,AB_m21,barker,bark,er,Graves,8,387,5.96,L,4,6,Large
S160,565,1,CW_L,202,3,SPELLER,AB_m21,speller,spell,er,RastleFiller,10,781,6.66,L,5,7,Large
S160,825,1,CW_L,202,4,KNOCKER,AB_m21,knocker,knock,er,RastleFiller,15,1104,7.01,L,5,7,Large
S160,813,1,CW_L,202,5,SWIMMER,AB_m21,swimmer,swim,er,FORD,11,1145,7.04,L,4,7,Large
S160,868,1,CW_L,202,6,COMPOSER,AB_m21,composer,compose,er,FORD,13,1187,7.08,L,7,8,Large
S160,584,1,CW_L,202,7,BOMBER,AB_m21,bomber,bomb,er,Rastle,24,1208,7.1,L,4,6,Large
S160,884,1,CW_L,202,8,LOCKER,AB_m21,locker,lock,er,RastleFiller,18,1654,7.41,L,4,6,Large
S160,608,1,CW_L,202,9,RENTER,AB_m21,renter,rent,er,RastleFiller,13,1690,7.43,L,4,6,Large
S160,732,1,CW_L,202,10,HUNTER,AB_m21,hunter,hunt,er,FORD,18,1762,7.47,L,4,6,Large
S160,647,1,CW_L,202,11,DANCER,AB_m21,dancer,dance,er,FORD,16,2003,7.6,L,5,6,Large
S160,574,1,CW_L,202,12,DREAMER,AB_m21,dreamer,dream,er,Rastle,19,2325,7.75,L,5,7,Large
S160,682,1,CW_L,202,13,PUSHER,AB_m21,pusher,push,er,RastleFiller,17,2507,7.83,L,4,6,Large
S160,816,1,CW_L,202,14,FEEDER,AB_m21,feeder,feed,er,FORD,11,2806,7.94,L,4,6,Large
S160,632,1,CW_L,202,15,CLEANER,AB_m21,cleaner,clean,er,XuTaft,29,2854,7.96,L,5,7,Large
S160,747,1,CW_L,202,16,HEATER,AB_m21,heater,heat,er,FORD,15,2881,7.97,L,4,6,Large
S160,994,0,CW_L,202,17,STRIKER,AB_m21,striker,strike,er,Graves,17,3414,8.14,L,6,7,Large
S160,694,1,CW_L,202,18,PAINTER,AB_m21,painter,paint,er,RastleFiller,17,3666,8.21,L,5,7,Large
S160,776,1,CW_L,202,19,SHAMEFUL,AB_m21,shameful,shame,ful,FORD,13,993,6.9,L,5,8,Large
S160,643,1,CW_L,202,20,FAITHFUL,AB_m21,faithful,faith,ful,FORD,12,1320,7.19,L,5,8,Large
S160,991,0,CW_L,202,21,DOUBTFUL,AB_m21,doubtful,doubt,ful,FORD,8,4135,8.33,L,5,8,Large
S160,937,1,CW_L,202,22,FLEXIBLE,AB_m21,flexible,flex,ible,RastleFiller,16,664,6.5,L,4,8,Large
S160,666,1,CW_L,202,23,KICKING,AB_m21,kicking,kick,ing,RastleFiller,15,1012,6.92,L,4,7,Large
S160,697,1,CW_L,202,24,COOLING,AB_m21,cooling,cool,ing,RastleFiller,14,1434,7.27,L,4,7,Large
S160,627,1,CW_L,202,25,PARKING,AB_m21,parking,park,ing,RastleFiller,9,1945,7.57,L,4,7,Large
S160,598,1,CW_L,202,26,GUARDING,AB_m21,guarding,guard,ing,RastleFiller,28,2047,7.62,L,5,8,Large
S160,640,1,CW_L,202,27,LAUGHING,AB_m21,laughing,laugh,ing,RastleFiller,18,4181,8.34,L,5,8,Large
S160,702,0,CW_L,202,28,DAMPISH,AB_m21,dampish,damp,ish,FORD,11,621,6.43,L,4,7,Large
S160,703,1,CW_L,202,29,STYLISH,AB_m21,stylish,style,ish,XuTaft,16,2119,7.66,L,5,7,Large
S160,688,1,CW_L,202,30,JUMPING,AB_m21,jumping,jump,jumping,RastleFiller,15,1395,7.24,L,4,7,Large
S160,994,0,CW_L,202,31,GUILELESS,AB_m21,guileless,guile,less,Graves,9,61,4.11,L,5,9,Large
S160,809,1,CW_L,202,32,BOOTLESS,AB_m21,bootless,boot,less,Graves,19,940,6.85,L,4,8,Large
S160,691,1,CW_L,202,33,CLOUDLESS,AB_m21,cloudless,cloud,less,RastleFiller,14,1181,7.07,L,5,9,Large
S160,740,1,CW_L,202,34,BONELESS,AB_m21,boneless,bone,less,Graves,35,1490,7.31,L,4,8,Large
S160,579,1,CW_L,202,35,SHAPELY,AB_m21,shapely,shape,ly,XuTaft,12,1909,7.55,L,5,7,Large
S160,842,1,CW_L,202,36,QUIETLY,AB_m21,quietly,quiet,ly,Rastle,18,2691,7.9,L,5,7,Large
S160,870,1,CW_L,202,37,WRONGLY,AB_m21,wrongly,wrong,ly,FORD,12,3532,8.17,L,5,7,Large
S160,617,1,CW_L,202,38,EXCITEMENT,AB_m21,excitement,excite,ment,FORD,9,1924,7.56,L,6,10,Large
S160,957,1,CW_L,202,39,DEAFNESS,AB_m21,deafness,deaf,ness,FORD,9,290,5.67,L,4,8,Large
S160,997,0,CW_L,202,40,BLINDNESS,AB_m21,blindness,blind,ness,FORD,16,1024,6.93,L,5,9,Large
S160,618,1,CW_L,202,41,MADNESS,AB_m21,madness,mad,ness,FORD,10,1298,7.17,L,3,7,Large
S160,601,1,CW_L,202,42,DRYNESS,AB_m21,dryness,dry,ness,XuTaft,19,2366,7.77,L,3,7,Large
S160,558,1,CW_L,202,43,SAILOR,AB_m21,sailor,sail,or,RastleFiller,17,740,6.61,L,4,6,Large
S160,611,1,CW_L,202,44,CONDUCTOR,AB_m21,conductor,conduct,or,RastleFiller,16,1084,6.99,L,7,9,Large
S160,705,1,CW_L,202,45,EDITOR,AB_m21,editor,edit,or,RastleFiller,12,1298,7.17,L,4,6,Large
S160,717,1,CW_L,202,46,COLLECTOR,AB_m21,collector,collect,or,XuTaft,23,3221,8.08,L,7,9,Large
S160,581,1,CW_L,202,47,PROFESSOR,AB_m21,professor,profess,pr,RastleFiller,14,3563,8.18,L,7,9,Large
S160,973,0,CW_L,202,48,WEEDY,AB_m21,weedy,weed,y,Graves,17,729,6.59,L,4,5,Large
S160,559,1,CW_L,202,49,CREAMY,AB_m21,creamy,cream,y,RastleFiller,10,792,6.67,L,5,6,Large
S160,611,1,CW_L,202,50,VERBAL,AB_m21,verbal,verb,al,RastleFiller,22,423,6.05,L,4,6,Large
S161,909,1,CW_S,201,1,DETECTABLE,BA_m21,detectable,detect,able,XuTaft,7,982,6.89,S,6,10,Small
S161,494,1,CW_S,201,2,AVOIDABLE,BA_m21,avoidable,avoid,able,XuTaft,5,2172,7.68,S,5,9,Small
S161,938,0,CW_S,201,3,NOTICEABLE,BA_m21,noticeable,notice,able,FORD,6,3426,8.14,S,6,10,Small
S161,608,1,CW_S,201,4,MAGICAL,BA_m21,magical,magic,al,RastleFiller,5,1014,6.92,S,5,7,Small
S161,627,1,CW_S,201,5,ALLOWANCE,BA_m21,allowance,allow,ance,RastleFiller,5,5014,8.52,S,5,9,Small
S161,812,1,CW_S,201,6,DIETARY,BA_m21,dietary,diet,ary,Rastle,6,1181,7.07,S,4,7,Small
S161,787,1,CW_S,201,7,WIDOWED,BA_m21,widowed,widow,ed,RastleFiller,5,499,6.21,S,5,7,Small
S161,789,1,CW_S,201,8,BEARDED,BA_m21,bearded,beard,ed,Rastle,7,578,6.36,S,5,7,Small
S161,686,0,CW_S,201,9,INSISTENT,BA_m21,insistent,insist,ent,RastleFiller,5,1631,7.4,S,6,9,Small
S161,498,1,CW_S,201,10,TOASTER,BA_m21,toaster,toast,er,Rastle,6,339,5.83,S,5,7,Small
S161,754,1,CW_S,201,11,LENDER,BA_m21,lender,lend,er,FORD,3,505,6.22,S,4,6,Small
S161,860,1,CW_S,201,12,RAIDER,BA_m21,raider,raid,er,RastleFiller,4,505,6.22,S,4,6,Small
S161,995,0,CW_S,201,13,JAILER,BA_m21,jailer,jail,er,RastleFiller,5,678,6.52,S,4,6,Small
S161,538,1,CW_S,201,14,DESTROYER,BA_m21,destroyer,destroy,er,FORD,3,1906,7.55,S,7,9,Small
S161,751,1,CW_S,201,15,CAMPAIGNER,BA_m21,campaigner,campaign,er,FORD,3,2003,7.6,S,8,10,Small
S161,560,1,CW_S,201,16,SEEKER,BA_m21,seeker,seek,er,Rastle,7,2155,7.68,S,4,6,Small
S161,663,1,CW_S,201,17,SINGER,BA_m21,singer,sing,er,FORD,4,2186,7.69,S,4,6,Small
S161,450,1,CW_S,201,18,LISTENER,BA_m21,listener,listen,er,FORD,4,3081,8.03,S,6,8,Small
S161,753,1,CW_S,201,19,DESIGN,BA_m21,design,designer,er,RastleFiller,7,3296,8.1,S,8,6,Small
S161,992,0,CW_S,201,20,ATTACKER,BA_m21,attacker,attack,er,FORD,6,3385,8.13,S,6,8,Small
S161,551,1,CW_S,201,21,BUYER,BA_m21,buyer,buy,er,FORD,3,4386,8.39,S,3,5,Small
S161,643,1,CW_S,201,22,PLANNER,BA_m21,planner,plan,er,FORD,4,5475,8.61,S,4,7,Small
S161,474,1,CW_S,201,23,TEACHER,BA_m21,teacher,teach,er,RastleFiller,6,5662,8.64,S,5,7,Small
S161,990,0,CW_S,201,24,THRUSTER,BA_m21,thruster,thrust,er,Graves,4,584,6.37,S,6,8,Small
S161,614,1,CW_S,201,25,ANGELIC,BA_m21,angelic,angel,ic,Rastle,7,567,6.34,S,5,7,Small
S161,967,1,CW_S,201,26,TOSSING,BA_m21,tossing,toss,ing,RastleFiller,5,407,6.01,S,4,7,Small
S161,941,1,CW_S,201,27,TUTORING,BA_m21,tutoring,tutor,ing,RastleFiller,5,499,6.212606096,S,5,8,Small
S161,588,1,CW_S,201,28,PEAKING,BA_m21,peaking,peak,ing,RastleFiller,6,546,6.3,S,4,7,Small
S161,619,1,CW_S,201,29,HARMLESS,BA_m21,harmless,harm,less,FORD,7,1101,7,S,4,8,Small
S161,926,1,CW_S,201,30,EFFORTLESS,BA_m21,effortless,effort,less,FORD,4,2456,7.81,S,6,10,Small
S161,988,0,CW_S,201,31,GRIMLY,BA_m21,grimly,grim,ly,FORD,6,552,6.31,S,4,6,Small
S161,571,1,CW_S,201,32,DENSELY,BA_m21,densely,dense,ly,FORD,7,655,6.48,S,5,7,Small
S161,697,1,CW_S,201,33,NEATLY,BA_m21,neatly,neat,ly,FORD,3,924,6.83,S,4,6,Small
S161,500,1,CW_S,201,34,GUILTY,BA_m21,guilty,guilt,ly,RastleFiller,7,1576,7.36,S,5,6,Small
S161,994,0,CW_S,201,35,HUGELY,BA_m21,hugely,huge,ly,FORD,3,1918,7.56,S,4,6,Small
S161,896,1,CW_S,201,36,COSTLY,BA_m21,costly,cost,ly,FORD,6,4215,8.35,S,4,6,Small
S161,677,1,CW_S,201,37,LOCALLY,BA_m21,locally,local,ly,FORD,7,4485,8.41,S,5,7,Small
S161,647,1,CW_S,201,38,AMUSEMENT,BA_m21,amusement,amuse,ment,FORD,3,857,6.75,S,5,9,Small
S161,991,0,CW_S,201,39,AMAZEMENT,BA_m21,amazement,amaze,ment,FORD,4,878,6.78,S,5,9,Small
S161,495,1,CW_S,201,40,ENJOYMENT,BA_m21,enjoyment,enjoy,ment,FORD,4,2771,7.93,S,5,9,Small
S161,846,1,CW_S,201,41,BOLDNESS,BA_m21,boldness,bold,ness,RastleFiller,7,379,5.94,S,4,8,Small
S161,991,0,CW_S,201,42,MILDNESS,BA_m21,mildness,mild,ness,FORD,4,676,6.52,S,4,8,Small
S161,750,1,CW_S,201,43,DULLNESS,BA_m21,dullness,dull,ness,XuTaft,5,703,6.56,S,4,8,Small
S161,590,1,CW_S,201,44,AWARENESS,BA_m21,awareness,aware,ness,FORD,4,2391,7.78,S,5,9,Small
S161,973,1,CW_S,201,45,RICHNESS,BA_m21,richness,rich,ness,FORD,7,2868,7.96,S,4,8,Small
S161,959,1,CW_S,201,46,STRANGENESS,BA_m21,strangeness,strange,ness,FORD,4,2912,7.98,S,7,11,Small
S161,995,0,CW_S,201,47,MOSSY,BA_m21,mossy,moss,y,Graves,3,149,5,S,4,5,Small
S161,570,1,CW_S,201,48,CHILLY,BA_m21,chilly,chill,y,RastleFiller,7,488,6.19,S,5,6,Small
S161,615,1,CW_S,201,49,BOSSY,BA_m21,bossy,boss,y,Graves,6,551,6.31,S,4,5,Small
S161,432,1,CW_S,201,50,RISKY,BA_m21,risky,risk,y,RastleFiller,5,1827,7.51,S,4,5,Small
S161,530,1,CW_L,202,1,PUNCHER,BA_m21,puncher,punch,er,RastleFiller,17,325,5.78,L,5,7,Large
S161,994,0,CW_L,202,2,BARKER,BA_m21,barker,bark,er,Graves,8,387,5.96,L,4,6,Large
S161,583,1,CW_L,202,3,SPELLER,BA_m21,speller,spell,er,RastleFiller,10,781,6.66,L,5,7,Large
S161,699,1,CW_L,202,4,KNOCKER,BA_m21,knocker,knock,er,RastleFiller,15,1104,7.01,L,5,7,Large
S161,642,1,CW_L,202,5,SWIMMER,BA_m21,swimmer,swim,er,FORD,11,1145,7.04,L,4,7,Large
S161,731,1,CW_L,202,6,COMPOSER,BA_m21,composer,compose,er,FORD,13,1187,7.08,L,7,8,Large
S161,829,1,CW_L,202,7,BOMBER,BA_m21,bomber,bomb,er,Rastle,24,1208,7.1,L,4,6,Large
S161,790,1,CW_L,202,8,LOCKER,BA_m21,locker,lock,er,RastleFiller,18,1654,7.41,L,4,6,Large
S161,732,1,CW_L,202,9,RENTER,BA_m21,renter,rent,er,RastleFiller,13,1690,7.43,L,4,6,Large
S161,556,1,CW_L,202,10,HUNTER,BA_m21,hunter,hunt,er,FORD,18,1762,7.47,L,4,6,Large
S161,503,1,CW_L,202,11,DANCER,BA_m21,dancer,dance,er,FORD,16,2003,7.6,L,5,6,Large
S161,570,1,CW_L,202,12,DREAMER,BA_m21,dreamer,dream,er,Rastle,19,2325,7.75,L,5,7,Large
S161,890,1,CW_L,202,13,PUSHER,BA_m21,pusher,push,er,RastleFiller,17,2507,7.83,L,4,6,Large
S161,866,0,CW_L,202,14,FEEDER,BA_m21,feeder,feed,er,FORD,11,2806,7.94,L,4,6,Large
S161,549,1,CW_L,202,15,CLEANER,BA_m21,cleaner,clean,er,XuTaft,29,2854,7.96,L,5,7,Large
S161,668,1,CW_L,202,16,HEATER,BA_m21,heater,heat,er,FORD,15,2881,7.97,L,4,6,Large
S161,861,1,CW_L,202,17,STRIKER,BA_m21,striker,strike,er,Graves,17,3414,8.14,L,6,7,Large
S161,847,1,CW_L,202,18,PAINTER,BA_m21,painter,paint,er,RastleFiller,17,3666,8.21,L,5,7,Large
S161,596,1,CW_L,202,19,SHAMEFUL,BA_m21,shameful,shame,ful,FORD,13,993,6.9,L,5,8,Large
S161,650,1,CW_L,202,20,FAITHFUL,BA_m21,faithful,faith,ful,FORD,12,1320,7.19,L,5,8,Large
S161,632,1,CW_L,202,21,DOUBTFUL,BA_m21,doubtful,doubt,ful,FORD,8,4135,8.33,L,5,8,Large
S161,603,1,CW_L,202,22,FLEXIBLE,BA_m21,flexible,flex,ible,RastleFiller,16,664,6.5,L,4,8,Large
S161,600,1,CW_L,202,23,KICKING,BA_m21,kicking,kick,ing,RastleFiller,15,1012,6.92,L,4,7,Large
S161,766,1,CW_L,202,24,COOLING,BA_m21,cooling,cool,ing,RastleFiller,14,1434,7.27,L,4,7,Large
S161,511,1,CW_L,202,25,PARKING,BA_m21,parking,park,ing,RastleFiller,9,1945,7.57,L,4,7,Large
S161,657,0,CW_L,202,26,GUARDING,BA_m21,guarding,guard,ing,RastleFiller,28,2047,7.62,L,5,8,Large
S161,603,1,CW_L,202,27,LAUGHING,BA_m21,laughing,laugh,ing,RastleFiller,18,4181,8.34,L,5,8,Large
S161,774,1,CW_L,202,28,DAMPISH,BA_m21,dampish,damp,ish,FORD,11,621,6.43,L,4,7,Large
S161,627,1,CW_L,202,29,STYLISH,BA_m21,stylish,style,ish,XuTaft,16,2119,7.66,L,5,7,Large
S161,559,1,CW_L,202,30,JUMPING,BA_m21,jumping,jump,jumping,RastleFiller,15,1395,7.24,L,4,7,Large
S161,995,0,CW_L,202,31,GUILELESS,BA_m21,guileless,guile,less,Graves,9,61,4.11,L,5,9,Large
S161,995,0,CW_L,202,32,BOOTLESS,BA_m21,bootless,boot,less,Graves,19,940,6.85,L,4,8,Large
S161,990,0,CW_L,202,33,CLOUDLESS,BA_m21,cloudless,cloud,less,RastleFiller,14,1181,7.07,L,5,9,Large
S161,517,1,CW_L,202,34,BONELESS,BA_m21,boneless,bone,less,Graves,35,1490,7.31,L,4,8,Large
S161,950,1,CW_L,202,35,SHAPELY,BA_m21,shapely,shape,ly,XuTaft,12,1909,7.55,L,5,7,Large
S161,695,1,CW_L,202,36,QUIETLY,BA_m21,quietly,quiet,ly,Rastle,18,2691,7.9,L,5,7,Large
S161,720,1,CW_L,202,37,WRONGLY,BA_m21,wrongly,wrong,ly,FORD,12,3532,8.17,L,5,7,Large
S161,535,1,CW_L,202,38,EXCITEMENT,BA_m21,excitement,excite,ment,FORD,9,1924,7.56,L,6,10,Large
S161,991,0,CW_L,202,39,DEAFNESS,BA_m21,deafness,deaf,ness,FORD,9,290,5.67,L,4,8,Large
S161,568,1,CW_L,202,40,BLINDNESS,BA_m21,blindness,blind,ness,FORD,16,1024,6.93,L,5,9,Large
S161,658,1,CW_L,202,41,MADNESS,BA_m21,madness,mad,ness,FORD,10,1298,7.17,L,3,7,Large
S161,667,1,CW_L,202,42,DRYNESS,BA_m21,dryness,dry,ness,XuTaft,19,2366,7.77,L,3,7,Large
S161,580,1,CW_L,202,43,SAILOR,BA_m21,sailor,sail,or,RastleFiller,17,740,6.61,L,4,6,Large
S161,991,0,CW_L,202,44,CONDUCTOR,BA_m21,conductor,conduct,or,RastleFiller,16,1084,6.99,L,7,9,Large
S161,570,1,CW_L,202,45,EDITOR,BA_m21,editor,edit,or,RastleFiller,12,1298,7.17,L,4,6,Large
S161,501,1,CW_L,202,46,COLLECTOR,BA_m21,collector,collect,or,XuTaft,23,3221,8.08,L,7,9,Large
S161,706,1,CW_L,202,47,PROFESSOR,BA_m21,professor,profess,pr,RastleFiller,14,3563,8.18,L,7,9,Large
S161,443,1,CW_L,202,48,WEEDY,BA_m21,weedy,weed,y,Graves,17,729,6.59,L,4,5,Large
S161,743,1,CW_L,202,49,CREAMY,BA_m21,creamy,cream,y,RastleFiller,10,792,6.67,L,5,6,Large
S161,668,1,CW_L,202,50,VERBAL,BA_m21,verbal,verb,al,RastleFiller,22,423,6.05,L,4,6,Large
S162,529,1,CW_S,201,1,DETECTABLE,AB_m21,detectable,detect,able,XuTaft,7,982,6.89,S,6,10,Small
S162,566,1,CW_S,201,2,AVOIDABLE,AB_m21,avoidable,avoid,able,XuTaft,5,2172,7.68,S,5,9,Small
S162,531,1,CW_S,201,3,NOTICEABLE,AB_m21,noticeable,notice,able,FORD,6,3426,8.14,S,6,10,Small
S162,461,1,CW_S,201,4,MAGICAL,AB_m21,magical,magic,al,RastleFiller,5,1014,6.92,S,5,7,Small
S162,517,1,CW_S,201,5,ALLOWANCE,AB_m21,allowance,allow,ance,RastleFiller,5,5014,8.52,S,5,9,Small
S162,540,0,CW_S,201,6,DIETARY,AB_m21,dietary,diet,ary,Rastle,6,1181,7.07,S,4,7,Small
S162,571,0,CW_S,201,7,WIDOWED,AB_m21,widowed,widow,ed,RastleFiller,5,499,6.21,S,5,7,Small
S162,447,1,CW_S,201,8,BEARDED,AB_m21,bearded,beard,ed,Rastle,7,578,6.36,S,5,7,Small
S162,620,1,CW_S,201,9,INSISTENT,AB_m21,insistent,insist,ent,RastleFiller,5,1631,7.4,S,6,9,Small
S162,546,1,CW_S,201,10,TOASTER,AB_m21,toaster,toast,er,Rastle,6,339,5.83,S,5,7,Small
S162,641,1,CW_S,201,11,LENDER,AB_m21,lender,lend,er,FORD,3,505,6.22,S,4,6,Small
S162,467,1,CW_S,201,12,RAIDER,AB_m21,raider,raid,er,RastleFiller,4,505,6.22,S,4,6,Small
S162,517,1,CW_S,201,13,JAILER,AB_m21,jailer,jail,er,RastleFiller,5,678,6.52,S,4,6,Small
S162,444,1,CW_S,201,14,DESTROYER,AB_m21,destroyer,destroy,er,FORD,3,1906,7.55,S,7,9,Small
S162,493,1,CW_S,201,15,CAMPAIGNER,AB_m21,campaigner,campaign,er,FORD,3,2003,7.6,S,8,10,Small
S162,456,1,CW_S,201,16,SEEKER,AB_m21,seeker,seek,er,Rastle,7,2155,7.68,S,4,6,Small
S162,455,1,CW_S,201,17,SINGER,AB_m21,singer,sing,er,FORD,4,2186,7.69,S,4,6,Small
S162,532,1,CW_S,201,18,LISTENER,AB_m21,listener,listen,er,FORD,4,3081,8.03,S,6,8,Small
S162,460,1,CW_S,201,19,DESIGN,AB_m21,design,designer,er,RastleFiller,7,3296,8.1,S,8,6,Small
S162,375,1,CW_S,201,20,ATTACKER,AB_m21,attacker,attack,er,FORD,6,3385,8.13,S,6,8,Small
S162,507,1,CW_S,201,21,BUYER,AB_m21,buyer,buy,er,FORD,3,4386,8.39,S,3,5,Small
S162,629,1,CW_S,201,22,PLANNER,AB_m21,planner,plan,er,FORD,4,5475,8.61,S,4,7,Small
S162,526,1,CW_S,201,23,TEACHER,AB_m21,teacher,teach,er,RastleFiller,6,5662,8.64,S,5,7,Small
S162,637,1,CW_S,201,24,THRUSTER,AB_m21,thruster,thrust,er,Graves,4,584,6.37,S,6,8,Small
S162,563,1,CW_S,201,25,ANGELIC,AB_m21,angelic,angel,ic,Rastle,7,567,6.34,S,5,7,Small
S162,593,1,CW_S,201,26,TOSSING,AB_m21,tossing,toss,ing,RastleFiller,5,407,6.01,S,4,7,Small
S162,489,1,CW_S,201,27,TUTORING,AB_m21,tutoring,tutor,ing,RastleFiller,5,499,6.212606096,S,5,8,Small
S162,403,1,CW_S,201,28,PEAKING,AB_m21,peaking,peak,ing,RastleFiller,6,546,6.3,S,4,7,Small
S162,537,1,CW_S,201,29,HARMLESS,AB_m21,harmless,harm,less,FORD,7,1101,7,S,4,8,Small
S162,582,1,CW_S,201,30,EFFORTLESS,AB_m21,effortless,effort,less,FORD,4,2456,7.81,S,6,10,Small
S162,482,1,CW_S,201,31,GRIMLY,AB_m21,grimly,grim,ly,FORD,6,552,6.31,S,4,6,Small
